BN,FPE,300,305,310,315,320,325,330,335,340,345,370,380,390
100021237RR0001,41455,135,,,10,,,,,,,257,2555407,10063896
100021252RR0001,41455,30,,9,1,,,,,,,36,251188,1933675
100040781RR0001,41364,1,1,,,,,,,,,,,19819
100042373RR0001,41364,2,,2,,,,,,,,5,14068,199235
100042670RR0001,41364,5,5,,,,,,,,,,,177478
100044452RR0001,41455,18,3,6,1,,,,,,,180,669874,1311225
100048800RR0001,41517,4,2,2,,,,,,,,5,94425,326766
100071927RR0001,41517,8,3,4,1,,,,,,,,98977,577187
100072586RR0001,41639,60,,,5,2,1,1,,1,,10,76114,4612780
100072933RR0001,41639,7,4,3,,,,,,,,14,70110,422472
100075415RR0001,41364,25,4,20,1,,,,,,,15,478340,1447360
100075423RR0001,41364,17,13,4,,,,,,,,23,187902,926213
100075472RR0001,41364,6,6,,,,,,,,,13,126944,711360
100090059RR0001,41364,,,,,,,,,,,,,
100090091RR0001,41364,28,20,8,,,,,,,,8,35749,1069193
100096585RR0001,41639,4,4,,,,,,,,,2,7625,149790
100110626RR0001,41394,1,,1,,,,,,,,,,47216
100148196RR0001,41364,5,4,,,1,,,,,,6,27883,219859
100161512RR0001,41486,,,,,,,,,,,,,
100172188RR0001,41364,4,2,2,,,,,,,,,,198830
100192012RR0001,41578,,,,,,,,,,,7,73615,73615
100192194RR0001,41364,5,4,1,,,,,,,,6,12187,215729
100193457RR0001,41639,9,1,8,,,,,,,,2,15698,484195
100220417RR0001,41639,,,,,,,,,,,,,
100221910RR0001,41639,11,8,2,,,,,,,,14,64899,374964
100238252RR0001,41364,1,1,,,,,,,,,5,43782,80832
100249168RR0001,41364,,,,,,,,,,,,,
100295138RR0001,41486,1,1,,,,,,,,,,,33976
100295823RR0001,41547,6,4,2,,,,,,,,9,32459,287508
100296318RR0001,41364,7,6,1,,,,,,,,1,3440,224460
100296490RR0001,41364,9,8,1,,,,,,,,3,7768,351180
100299163RR0001,41639,2,2,,,,,,,,,,,20000
100300219RR0001,41364,5,5,,,,,,,,,5,33358,33358
100300748RR0001,41364,,,,,,,,,,,,,
100300979RR0001,41455,,,,,,,,,,,,,
100301019RR0001,41305,1,1,,,,,,,,,,,25049
100301290RR0001,41517,,,,,,,,,,,,,
100301464RR0001,41364,1,1,,,,,,,,,2,6700,29161
100301845RR0001,41639,2,2,,,,,,,,,5,45000,110895
100301878RR0001,41364,7,7,,,,,,,,,,66848,213727
100302702RR0001,41364,25,8,8,1,,,,,,,8,59095,807179
100302801RR0001,41364,6,6,,,,,,,,,4,62767,97023
100302827RR0001,41639,2,2,,,,,,,,,,,62777
100303387RR0001,41364,,,,,,,,,,,,,
100303486RR0001,41364,2,2,,,,,,,,,1,11089,75408
100303817RR0001,41364,2,,1,,,,,,,,2,6534,78507
100304005RR0001,41364,7,6,1,,,,,,,,,78574,139685
100304344RR0001,41364,,,,,,,,,,,,,
100304518RR0001,41364,,,,,,,,,,,2,10953,10953
100304591RR0001,41364,2,2,,,,,,,,,4,15922,79562
100305275RR0001,41364,4,3,1,,,,,,,,4,4565,138003
100305283RR0001,41364,3,3,,,,,,,,,8,38105,99270
100305473RR0001,41639,,,,,,,,,,,,,
100305507RR0001,41364,2,1,1,,,,,,,,,,66153
100305663RR0001,41364,4,1,3,,,,,,,,9,,55806
100306067RR0001,41455,6,3,3,,,,,,,,8,,316487
100306174RR0001,41639,1,1,,,,,,,,,3,44343,66445
100306182RR0001,41639,3,3,,,,,,,,,,,127022
100306323RR0002,41364,10,9,1,,,,,,,,,31325,282038
100306463RR0001,41639,,,,,,,,,,,,,
100306836RR0001,41364,3,3,,,,,,,,,3,,114027
100306950RR0001,41364,1,,,,,,,,,,,,33064
100307016RR0001,41364,1,,,,,,,,,,,,50807
100316132RR0001,41364,2,2,,,,,,,,,3,29084,31973
100318195RR0001,41364,3,1,1,1,,,,,,,,,2465608
100318310RR0001,41455,2,2,,,,,,,,,,,28327
100318997RR0001,41547,28,9,1,,,,,,,,23,,171580
100319797RR0001,41364,172,,9,,1,,,,,,33,434209,4426884
100334994RR0001,41364,3,2,1,,,,,,,,16,43966,149048
100338797RR0001,41639,,,,,,,,,,,,,
100342781RR0001,41639,,,,,,,,,,,,,
100356047RR0001,41455,,2,,,,,,,,,,,52583
100356476RR0001,41364,1,1,,,,,,,,,,,
100384734RR0001,41517,2,,2,,,,,,,,6,60888,309476
100405299RR0001,41517,14,6,4,,,,,,,,,,524923
100452838RR0001,41455,2,2,,,,,,,,,4,17380,63267
100459932RR0001,41305,,,,,,,,,,,,,
100462118RR0001,41455,7,7,,,,,,,,,7,10740,183901
100489897RR0001,41608,,,,,,,,,,,,,
100493253RR0001,41639,2,2,,,,,,,,,,,5364
100504679RR0001,41455,,,,,,,,,,,,,
100504687RR0001,41455,9,5,4,,,,,,,,98,322912,842332
100523653RR0001,41364,2,,,,,,,,,,,,7450
100560044RR0001,41547,,,,,,,,,,,,,
100622661RR0001,41364,15,1,7,2,,,,,,,37,887782,1921365
100623602RR0001,41455,2,2,,,,,,,,,3,10978,55987
100655810RR0001,41364,,,5,,,,,,,,,,290717
100661487RR0001,41639,1,,,,,,,,,,1,2566,35170
100681238RR0001,41364,121,,4,5,1,,,,,,110,1888870,7387237
100709708RR0001,41486,1,1,,,,,,,,,1,,22782
100718212RR0001,41364,6,6,,,,,,,,,,,151032
100731660RR0001,41364,70,,4,5,1,,,,,,65,1265114,5362704
100749357RR0001,41547,2,1,1,,,,,,,,117,504458,595708
100749498RR0001,41488,,,,,,,,,,,,,
100750959RR0001,41578,,,,,,,,,,,4,18356,18356
100754142RR0001,41639,,,,,,,,,,,,,
100759810RR0001,41517,,,,,,,,,,,,,
100762590RR0001,41639,6,1,4,,1,,,,,,,,429887
100762723RR0001,41639,,,,,,,,,,,4,129169,129169
100763416RR0001,41364,8,1,4,2,,1,,,,,,,642337
100764638RR0001,41639,1,1,,,,,,,,,1,,23085
100764646RR0001,41639,,,,,,,,,,,,,
100765114RR0001,41364,63,8,1,1,,,,,,,54,305311,1700686
100765882RR0001,41639,,,,,,,,,,,,,
100766427RR0001,41547,,,,,,,,,,,,,
100769835RR0001,41364,1,6,,,,,,,,,5,16823,54249
100772961RR0001,41639,,,,,,,,,,,,,
100773365RR0001,41364,,,,,,,,,,,,,
100773779RR0001,41639,,,,,,,,,,,,,
100774843RR0001,41425,8,3,3,2,,,,,,,2,55637,525889
100804939RR0001,41455,10,6,4,,,,,,,,63,124560,676636
100807189RR0001,41639,,,,,,,,,,,13,124679,124679
100810290RR0001,41639,5,3,2,,,,,,,,4,2254,260151
100814854RR0001,41639,5,4,1,,,,,,,,11,60823,281558
100815067RR0001,41364,15,12,3,,,,,,,,98,1235348,1877369
100823830RR0001,41639,16,1,8,1,,,,,,,40,207422,1045510
100825074RR0001,41364,7,5,,,,,,,,,18,211539,414639
100825116RR0001,41364,5,4,1,,,,,,,,5,28578,198662
100825322RR0001,41364,3,2,1,,,,,,,,2,48733,108839
100825439RR0001,41639,4,,1,,,,,,,,3,20261,73105
100831122RR0001,41455,,,,,,,,,,,,,
100844919RR0001,41639,30,,7,2,1,,,,,,16,249366,2489226
100870674RR0001,41394,,,,,,,,,,,,,
100875244RR0001,41364,3,2,1,,,,,,,,,,129337
100876143RR0001,41425,,,,,,,,,,,5,20308,20308
100876481RR0001,41364,5,4,1,,,,,,,,66,5356,252456
100876499RR0001,41364,13,13,,,,,,,,,,,252478
100876531RR0001,41639,17,14,2,1,,,,,,,161,945684,1546982
100876622RR0001,41639,3,3,,,,,,,,,,,40044
100876630RR0001,41364,6,5,1,,,,,,,,11,77935,257899
100876689RR0001,41364,17,16,1,,,,,,,,,,371709
100876887RR0001,41394,8,2,1,,,,,,,,5,59674,140674
100876903RR0001,41639,20,,10,,,,,,,,100,408619,1538192
100877505RR0001,41364,2,2,,,,,,,,,2,26000,103406
100877539RR0001,41364,4,3,1,,,,,,,,2,15385,169465
100877547RR0001,41364,5,4,1,,,,,,,,,,266627
100877570RR0001,41517,2,1,1,,,,,,,,3,41094,127849
100877596RR0001,41364,6,6,,,,,,,,,1,3421,118146
100877802RR0001,41364,,,,,,,,,,,,,
100877810RR0001,41364,5,3,2,,,,,,,,3,53658,255391
100877828RR0001,41639,,,,,,,,,,,4,29268,29268
100878032RR0001,41455,5,5,,,,,,,,,5,106334,106334
100878115RR0001,41639,1,1,,,,,,,,,,,29903
100878123RR0001,41455,26,,9,1,,,,,,,8,124503,1385953
100878206RR0001,41364,435,,,9,1,,,,,,98,8653148,38685573
100878743RR0001,41364,3,,3,,,,,,,,5,30633,155971
100878776RR0001,41364,16,8,1,1,,,,,,,11,103346,1010910
100878784RR0001,41364,4,4,,,,,,,,,4,57070,208816
100878792RR0001,41364,4,4,,,,,,,,,5,23713,153752
100878800RR0001,41517,2,,,,,,,,,,2,9180,9180
100878818RR0001,41364,,,,,,,,,,,2,55366,55366
100878826RR0001,41364,2,2,,,,,,,,,3,10997,57899
100878834RR0001,41364,7,6,1,,,,,,,,2,14836,233258
100879576RR0001,41364,3,4,1,,,,,,,,3,,212857
100879923RR0001,41364,6,6,,,,,,,,,,,113692
100880699RR0001,41364,8,7,1,,,,,,,,,,194096
100880822RR0001,41364,9,,9,,,,,,,,,,420980
100881333RR0001,41364,16,15,1,,,,,,,,,,462032
100882497RR0001,41517,10,4,1,,,,,,,,34,94365,413653
100882703RR0001,41639,,,,,,,,,,,,,
100882893RR0001,41364,15,6,3,1,,,,,,,,,1023690
100883248RR0001,41364,7,7,,,,,,,,,2,15937,213030
100883289RR0001,41364,1,,1,,,,,,,,,,55080
100883842RR0001,41547,2,1,1,,,,,,,,41,234255,313815
100884188RR0001,41364,1,1,,,,,,,,,1,11209,41124
100884329RR0001,41364,7,6,1,,,,,,,,,,158405
